URL,Purpose,Audience,SEO_Score,Conversion_Score,Priority,Main_Issue,Recommended_Action
/analysis/aqa-power-conflict,AQA P&C analysis,Students,6,5,Medium,Same,Same.
/analysis/language-paper,Lang paper analysis,Students,6,5,Medium,Same,Same.
/analysis/revision,Revision technique,Students,6,5,Medium,Same,Add HowTo schema.
/assessment/reading,Reading assessment,Students,6,5,Medium,Tool page,Strong if functional.
/mock-exams,Mock exams hub,Students,6,6,High,AQA-only currently,Plan for Edexcel/OCR/Eduqas mocks.
/marking,AI marking hub,Students/teachers,7,8,High,Conversion-driver,Strong; add to homepage features row.
/marking/sample/macbeth,AI marking demo (Macbeth),Visitors,7,8,High,Strong demo,Promote heavily.
/practice,Practice hub,Students,6,5,High,Board-aware,Add Quiz schema where applicable.
/games,Study games,Students,5,4,Medium,Likely sparse,Audit. 7 games claim?
/courses,Course catalogue,Students,6,5,Medium,Dynamic from allCourses,Audit content depth per course.
/toolkit,AI toolkit,Students/teachers,7,7,High,Strong feature,Strong.
/toolkit/test-builder,Test builder,Students,7,7,High,Strong,Strong.
/toolkit/revision-builder,Revision builder,Students,7,7,High,Strong,Strong.
/toolkit/personalised-revision,Personalised revision,Students,6,6,Medium,Audit,Strong.
/affiliates/apply,Affiliate sign-up,Creators,6,7,Medium,Disallowed in robots (intentional),N/A.
/dashboard,User dashboard,Logged-in,N/A,N/A,N/A,Disallowed in robots,N/A.
/blog,MISSING — content marketing hub,All,0,0,P0 GAP,Does not exist,Build per TICKET-11.
/compare,MISSING — comparison hub,All,0,0,P0 GAP,Does not exist,Build per TICKET-12.
/free-resources,MISSING — lead-magnet hub,Students/teachers,0,0,P0 GAP,Does not exist,Build per TICKET-14.
/exam-board-finder,MISSING — TOFU quiz,Students,0,0,P1 GAP,Does not exist,Build mid-2026.
/predict-your-grade,MISSING — TOFU quiz,Students,0,0,P1 GAP,Does not exist,Build pre-Q1 2027 PR campaign.
/for-schools/qatar,MISSING — Qatar landing,School heads,0,0,P2 GAP,Does not exist,Build M3.
/for-schools/gcc,MISSING — GCC landing,School heads,0,0,P2 GAP,Does not exist,Build M3.
/igcse/international-schools,MISSING — Intl landing,School heads,0,0,P2 GAP,Does not exist,Build M3.
/blog/grade-9-essay-guide,MISSING — authority post,Students,0,0,P0 GAP,Does not exist,Highest-priority blog post; ship in launch batch.
/blog/aqa-power-and-conflict-revision-guide,MISSING — authority post,Students,0,0,P1 GAP,Does not exist,Launch batch.
/blog/macbeth-themes-explained,MISSING — long-tail,Students,0,0,P1 GAP,Does not exist,Launch batch.
/blog/how-ai-marking-actually-works,MISSING — thought leadership,All,0,0,P1 GAP,Does not exist,Launch batch.
